gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
146669,RAM,T+4,312.6507,247.109,339.828,141.1915,344.1562,93.4683,464.9709,371.5026,118.82,LightGBM,2026-05-01,future
147388,RAM,T+1,83.9096,57.0329,59.6155,43.8263,84.389,25.4816,78.9185,53.4369,63.68,LightGBM,2026-02-01,future
147388,RAM,T+2,97.0332,60.3344,102.4258,35.7807,112.6567,22.5139,159.4664,136.9525,141.14,LightGBM,2026-03-01,future
147388,RAM,T+3,105.9456,73.6506,111.0587,34.942,108.7995,22.2279,178.5218,156.2939,147.52,LightGBM,2026-04-01,future
147388,RAM,T+4,92.1762,62.332,84.7933,42.9944,107.1984,23.3649,142.0065,118.6416,128.71,LightGBM,2026-05-01,future
147562,RAM,T+1,42.4174,44.7214,43.4298,36.9813,41.6184,20.6001,78.7334,58.1333,137.05,LightGBM,2026-02-01,future
147562,RAM,T+2,73.2126,47.0133,51.2072,32.1256,83.4227,18.9325,113.2046,94.2721,128.76,LightGBM,2026-03-01,future
147562,RAM,T+3,69.0966,57.014,46.9315,29.8063,64.393,18.582,123.4933,104.9113,151.83,LightGBM,2026-04-01,future
147562,RAM,T+4,46.6095,39.9288,41.956,30.9928,64.7703,19.5886,119.0342,99.4456,213.36,LightGBM,2026-05-01,future
147564,RAM,T+1,204.6836,130.9293,213.4844,55.899,239.8678,39.6524,287.2106,247.5582,120.95,LightGBM,2026-02-01,future
147564,RAM,T+2,200.1056,122.6915,194.64,48.2784,216.7122,34.3429,258.9411,224.5982,112.24,LightGBM,2026-03-01,future
147564,RAM,T+3,181.4455,126.5715,233.6586,42.2836,216.3877,32.9299,239.5708,206.6409,113.89,LightGBM,2026-04-01,future
147564,RAM,T+4,180.0128,117.4709,211.2764,58.5477,254.7708,36.1384,254.1165,217.9781,121.09,LightGBM,2026-05-01,future
147576,RAM,T+1,82.3306,52.9493,60.0307,41.428,78.4693,24.9808,79.071,54.0902,65.7,LightGBM,2026-02-01,future
147576,RAM,T+2,99.0186,56.3546,96.7634,34.9142,112.3375,23.2879,124.4274,101.1395,102.14,LightGBM,2026-03-01,future
147576,RAM,T+3,122.4492,79.9531,112.1238,35.1318,108.3924,23.6765,174.7767,151.1002,123.4,LightGBM,2026-04-01,future
147576,RAM,T+4,102.0202,64.8827,76.8919,42.294,106.6162,23.4392,141.6051,118.1659,115.83,LightGBM,2026-05-01,future
147578,RAM,T+1,203.4281,147.375,209.7182,56.0663,236.4383,37.1565,294.4237,257.2672,126.47,LightGBM,2026-02-01,future
147578,RAM,T+2,209.424,129.5317,193.6395,48.1735,249.4097,34.2543,294.893,260.6387,124.46,LightGBM,2026-03-01,future
147578,RAM,T+3,208.1996,135.858,235.7308,43.5129,226.5044,32.4598,238.5124,206.0525,98.97,LightGBM,2026-04-01,future
147578,RAM,T+4,218.443,131.5073,237.6262,57.8221,257.8735,38.0876,266.9872,228.8997,104.79,LightGBM,2026-05-01,future
147580,RAM,T+1,307.1756,198.1188,366.0982,88.3184,372.0637,56.7873,416.2146,359.4273,117.01,LightGBM,2026-02-01,future
147580,RAM,T+2,298.2199,175.9957,330.0245,71.1642,327.5952,58.9561,373.312,314.3559,105.41,LightGBM,2026-03-01,future
147580,RAM,T+3,315.9208,174.4312,333.1548,67.8235,319.9469,62.1279,339.128,277.0,87.68,LightGBM,2026-04-01,future
147580,RAM,T+4,295.7239,194.9067,328.6964,89.635,314.8077,67.7224,338.7855,271.0631,91.66,LightGBM,2026-05-01,future
147596,RAM,T+1,17.6849,17.6508,17.4258,15.4624,21.1236,10.47,34.3595,23.8895,135.08,LightGBM,2026-02-01,future
147596,RAM,T+2,15.7523,14.5288,17.9689,16.0954,24.4185,9.254,59.2287,49.9747,317.25,LightGBM,2026-03-01,future
147596,RAM,T+3,16.9573,15.1405,18.09,16.5583,25.2308,9.9365,82.1517,72.2153,425.87,LightGBM,2026-04-01,future
147596,RAM,T+4,17.8983,15.3002,18.5678,15.693,27.3832,10.4459,74.6084,64.1625,358.48,LightGBM,2026-05-01,future
148784,RAM,T+1,123.5869,72.5869,109.8462,49.7712,165.5179,30.1411,122.6201,92.479,74.83,LightGBM,2026-02-01,future
148784,RAM,T+2,118.8998,73.321,147.8651,41.1235,127.963,28.9219,206.1338,177.2119,149.04,LightGBM,2026-03-01,future
148784,RAM,T+3,137.1612,95.3402,124.1207,38.2794,124.6314,29.6444,191.0093,161.365,117.65,LightGBM,2026-04-01,future
148784,RAM,T+4,110.1133,77.5669,101.3207,50.7909,114.8885,26.8501,154.0059,127.1558,115.48,LightGBM,2026-05-01,future
153819,RAM,T+1,204.8172,149.9417,209.2753,59.4031,238.6811,39.1145,298.9294,259.8148,126.85,LightGBM,2026-02-01,future
153819,RAM,T+2,203.7284,134.3092,221.9017,50.7352,226.7467,35.5123,270.1685,234.6562,115.18,LightGBM,2026-03-01,future
153819,RAM,T+3,186.4575,136.0944,235.0316,44.9799,220.7336,35.6718,259.5057,223.8339,120.05,LightGBM,2026-04-01,future
153819,RAM,T+4,183.6275,120.7402,224.7871,59.2124,261.5977,37.9384,278.8957,240.9573,131.22,LightGBM,2026-05-01,future
177633,RAM,T+1,396.4114,318.5153,430.2523,206.2904,513.3786,86.6715,606.0359,519.3644,131.02,LightGBM,2026-02-01,future
