gc_id,segment,horizon,point_forecast,ci_lower_25,ci_upper_75,ci_lower_80,ci_upper_80,ci_lower_95,ci_upper_95,uncertainty_width,uncertainty_pct,model,forecast_month,phase
51669,Storage,T+4,50.1058,47.8466,51.4168,43.8828,52.6701,45.5283,56.6212,11.0929,22.14,XGBoost,2026-05-01,future
51682,Storage,T+1,81.8853,85.0876,105.9128,72.5781,122.329,69.6647,133.3503,63.6855,77.77,XGBoost,2026-02-01,future
51682,Storage,T+2,82.1889,80.5541,113.4669,72.903,125.108,66.5309,131.2583,64.7274,78.75,XGBoost,2026-03-01,future
51682,Storage,T+3,84.908,75.2744,107.635,74.4509,125.5042,63.542,135.9425,72.4005,85.27,XGBoost,2026-04-01,future
51682,Storage,T+4,79.0282,82.97,103.9765,70.9874,119.8889,59.5747,131.3251,71.7504,90.79,XGBoost,2026-05-01,future
51686,Storage,T+1,24.6858,22.0971,26.772,22.5868,28.6984,20.7368,33.4362,12.6994,51.44,XGBoost,2026-02-01,future
51686,Storage,T+2,24.8692,23.4584,24.8757,22.0451,28.3988,20.2796,31.3196,11.0401,44.39,XGBoost,2026-03-01,future
51686,Storage,T+3,22.6435,20.6899,23.6411,19.9843,24.8214,18.85,31.7715,12.9214,57.06,XGBoost,2026-04-01,future
51686,Storage,T+4,23.3051,20.1618,25.9712,20.4176,25.9164,17.5329,32.7265,15.1937,65.19,XGBoost,2026-05-01,future
51697,Storage,T+1,24.9175,21.2642,27.3705,16.9165,28.9643,14.8124,41.6658,26.8534,107.77,XGBoost,2026-02-01,future
51697,Storage,T+2,20.4472,16.8182,23.8246,13.1385,26.4636,11.5447,35.8081,24.2634,118.66,XGBoost,2026-03-01,future
51697,Storage,T+3,20.6825,15.3028,24.104,14.4455,29.1018,12.2531,40.6975,28.4445,137.53,XGBoost,2026-04-01,future
51697,Storage,T+4,18.791,15.7661,22.9175,14.7135,31.1015,13.4202,41.4383,28.0181,149.1,XGBoost,2026-05-01,future
51701,Storage,T+1,49.014,49.1412,49.061,47.7912,49.3806,42.1384,49.8564,7.7181,15.75,XGBoost,2026-02-01,future
51701,Storage,T+2,50.8631,47.109,48.172,44.4851,51.048,43.3713,47.9047,4.5334,8.91,XGBoost,2026-03-01,future
51701,Storage,T+3,49.9906,45.9595,50.7211,42.0313,54.8051,44.3264,57.5305,13.2041,26.41,XGBoost,2026-04-01,future
51701,Storage,T+4,50.1058,47.8466,51.4168,43.8828,52.6701,45.5283,56.6212,11.0929,22.14,XGBoost,2026-05-01,future
