gc_id,segment,model,n_horizons,mape_median,mape_mean,mape_p95,mae,rmse,bias,bias_pct,best_horizon
191562,GPU,XGBoost,4,13.59,12.93,18.86,5.5308,6.0675,-5.5308,-12.93,T+1
191562,GPU,LSTM,4,39.72,38.21,39.93,16.2264,16.2492,16.2264,38.21,T+3
191564,GPU,XGBoost,4,13.28,12.6,15.24,4.0417,4.2092,-2.9521,-8.32,T+2
191564,GPU,LightGBM,4,17.67,16.03,20.73,5.1923,5.5361,-4.1885,-12.09,T+2
191564,GPU,LSTM,4,73.56,84.73,117.67,25.8138,26.0489,25.8138,84.73,T+4
191572,GPU,XGBoost,4,3.63,4.12,7.3,125.1516,143.3496,87.6054,2.93,T+4
191572,GPU,LightGBM,4,4.03,4.07,7.88,122.6622,156.0761,122.6622,4.07,T+4
191572,GPU,LSTM,4,98.13,98.13,98.2,3035.9372,3037.6683,-3035.9372,-98.13,T+1
191577,GPU,LightGBM,4,3.23,6.72,17.57,49.4683,76.4559,-47.2687,-6.43,T+4
191577,GPU,XGBoost,4,9.23,9.23,15.19,68.8244,81.8652,-68.8244,-9.23,T+1
191577,GPU,LSTM,4,91.87,91.9,92.34,665.7872,666.712,-665.7872,-91.9,T+1
191579,GPU,LightGBM,4,2.57,3.63,8.48,12.0969,16.4216,4.0285,1.53,T+4
191579,GPU,XGBoost,4,3.6,4.64,10.04,15.6118,20.0301,4.1155,1.66,T+4
191579,GPU,LSTM,4,83.78,83.46,85.02,296.5212,298.406,-296.5212,-83.46,T+1
191581,GPU,LightGBM,4,19.42,21.12,27.05,70.271,71.7379,-70.271,-21.12,T+1
191581,GPU,XGBoost,4,20.09,18.83,25.98,62.9926,67.0994,-62.9926,-18.83,T+1
191581,GPU,LSTM,4,82.78,82.67,82.94,274.8787,274.9472,-274.8787,-82.67,T+1
191583,GPU,XGBoost,4,15.48,17.55,32.77,14.5388,17.1698,14.5388,17.55,T+2
191583,GPU,LightGBM,4,19.36,19.36,21.62,16.2907,16.3431,16.2907,19.36,T+1
191583,GPU,LSTM,4,31.77,31.19,33.69,26.3655,26.5268,-26.3655,-31.19,T+4
191587,GPU,XGBoost,4,23.5,21.07,27.36,3.1648,3.4933,-1.2384,-2.52,T+3
191587,GPU,LightGBM,4,27.96,28.22,30.34,4.0985,4.2469,-1.108,0.26,T+3
191587,GPU,LSTM,4,322.9,329.32,461.19,43.098,43.2975,43.098,329.32,T+1
191589,GPU,LightGBM,4,13.48,14.42,23.39,3.4226,4.0514,-2.0513,-6.95,T+4
191589,GPU,XGBoost,4,26.07,25.73,27.78,5.6177,5.7192,-1.0327,-0.34,T+3
191589,GPU,LSTM,4,165.74,172.94,235.45,35.8894,36.0991,35.8894,172.94,T+1
191591,GPU,LightGBM,4,48.0,51.99,96.66,11.4917,13.698,11.4917,51.99,T+4
191591,GPU,XGBoost,4,52.11,53.56,85.68,11.9675,13.2135,11.9675,53.56,T+4
191591,GPU,LSTM,4,160.44,160.0,169.25,35.9881,35.9951,35.9881,160.0,T+4
191593,GPU,LightGBM,4,4.62,8.33,19.0,3.8533,5.4351,-3.8533,-8.33,T+4
191593,GPU,XGBoost,4,10.07,12.16,21.41,5.4885,6.4973,-5.4885,-12.17,T+1
191593,GPU,LSTM,4,41.8,36.86,42.31,15.7603,16.052,15.7603,36.86,T+3
191597,GPU,LightGBM,4,6.46,6.54,12.26,1.8481,2.2438,-0.0454,0.08,T+4
191597,GPU,XGBoost,4,9.89,9.46,15.03,2.6915,3.065,-0.4405,-1.25,T+4
191597,GPU,LSTM,4,101.15,103.48,112.21,29.5073,29.5209,29.5073,103.48,T+1
197840,GPU,XGBoost,4,0.72,3.17,9.64,0.8158,1.4383,0.6251,2.45,T+2
197840,GPU,LightGBM,4,0.93,2.77,7.98,0.7091,1.1867,0.457,1.77,T+1
197840,GPU,LSTM,4,127.72,125.78,129.23,32.4433,32.4468,32.4433,125.78,T+4
197842,GPU,LSTM,4,4.68,8.05,16.3,5.3432,6.9308,-5.3432,-8.05,T+2
197842,GPU,LightGBM,4,9.96,9.21,11.96,5.8135,6.0678,-5.8135,-9.21,T+2
197842,GPU,XGBoost,4,16.8,15.9,17.13,10.0644,10.1798,-10.0644,-15.9,T+1
197850,GPU,LightGBM,4,2.54,2.44,3.48,0.8804,0.9454,0.6684,1.86,T+4
197850,GPU,XGBoost,4,3.82,4.96,9.58,1.8017,2.1963,1.4142,3.9,T+2
197850,GPU,LSTM,4,59.97,59.36,61.69,21.3699,21.3765,21.3699,59.36,T+1
197853,GPU,LightGBM,4,12.33,24.61,61.25,172.831,240.1686,172.831,24.61,T+1
197853,GPU,XGBoost,4,27.62,34.05,66.2,247.3035,289.138,247.3035,34.05,T+1
197853,GPU,LSTM,4,92.46,92.41,93.44,720.8827,726.3588,-720.8827,-92.41,T+3
197856,GPU,XGBoost,4,4.72,6.43,12.5,117.3202,141.111,117.3202,6.43,T+4
197856,GPU,LightGBM,4,11.01,8.95,13.38,164.2089,190.1506,163.5428,8.91,T+4
197856,GPU,LSTM,4,96.88,96.9,96.97,1773.8248,1774.0876,-1773.8248,-96.9,T+4
197860,GPU,LightGBM,4,9.15,11.97,24.57,62.2045,76.6025,38.1013,8.2,T+2
